date_id,date,day,month,year,quarter,weekday
237,2014-06-01,20140601,201406,2014,2014Q2,Sunday
238,2014-06-02,20140602,201406,2014,2014Q2,Monday
239,2014-06-03,20140603,201406,2014,2014Q2,Tuesday
240,2014-06-04,20140604,201406,2014,2014Q2,Wednesday
241,2014-06-05,20140605,201406,2014,2014Q2,Thursday
242,2014-06-06,20140606,201406,2014,2014Q2,Friday
243,2014-06-07,20140607,201406,2014,2014Q2,Saturday
244,2014-06-08,20140608,201406,2014,2014Q2,Sunday
245,2014-06-09,20140609,201406,2014,2014Q2,Monday
246,2014-06-10,20140610,201406,2014,2014Q2,Tuesday
247,2014-06-11,20140611,201406,2014,2014Q2,Wednesday
248,2014-06-12,20140612,201406,2014,2014Q2,Thursday
249,2014-06-13,20140613,201406,2014,2014Q2,Friday
250,2014-06-14,20140614,201406,2014,2014Q2,Saturday
251,2014-06-15,20140615,201406,2014,2014Q2,Sunday
252,2014-06-16,20140616,201406,2014,2014Q2,Monday
253,2014-06-17,20140617,201406,2014,2014Q2,Tuesday
254,2014-06-18,20140618,201406,2014,2014Q2,Wednesday
255,2014-06-19,20140619,201406,2014,2014Q2,Thursday
256,2014-06-20,20140620,201406,2014,2014Q2,Friday
257,2014-06-21,20140621,201406,2014,2014Q2,Saturday
258,2014-06-22,20140622,201406,2014,2014Q2,Sunday
259,2014-06-23,20140623,201406,2014,2014Q2,Monday
260,2014-06-24,20140624,201406,2014,2014Q2,Tuesday
261,2014-06-25,20140625,201406,2014,2014Q2,Wednesday
262,2014-06-26,20140626,201406,2014,2014Q2,Thursday
263,2014-06-27,20140627,201406,2014,2014Q2,Friday
264,2014-06-28,20140628,201406,2014,2014Q2,Saturday
265,2014-06-29,20140629,201406,2014,2014Q2,Sunday
266,2014-06-30,20140630,201406,2014,2014Q2,Monday
267,2014-07-01,20140701,201407,2014,2014Q3,Tuesday
268,2014-07-02,20140702,201407,2014,2014Q3,Wednesday
269,2014-07-03,20140703,201407,2014,2014Q3,Thursday
270,2014-07-04,20140704,201407,2014,2014Q3,Friday
271,2014-07-05,20140705,201407,2014,2014Q3,Saturday
272,2014-07-06,20140706,201407,2014,2014Q3,Sunday
273,2014-07-07,20140707,201407,2014,2014Q3,Monday
274,2014-07-08,20140708,201407,2014,2014Q3,Tuesday
275,2014-07-09,20140709,201407,2014,2014Q3,Wednesday
276,2014-07-10,20140710,201407,2014,2014Q3,Thursday
277,2014-07-11,20140711,201407,2014,2014Q3,Friday
278,2014-07-12,20140712,201407,2014,2014Q3,Saturday
279,2014-07-13,20140713,201407,2014,2014Q3,Sunday
280,2014-07-14,20140714,201407,2014,2014Q3,Monday
281,2014-07-15,20140715,201407,2014,2014Q3,Tuesday
282,2014-07-16,20140716,201407,2014,2014Q3,Wednesday
283,2014-07-17,20140717,201407,2014,2014Q3,Thursday
284,2014-07-18,20140718,201407,2014,2014Q3,Friday
285,2014-07-19,20140719,201407,2014,2014Q3,Saturday
286,2014-07-20,20140720,201407,2014,2014Q3,Sunday
287,2014-07-21,20140721,201407,2014,2014Q3,Monday
288,2014-07-22,20140722,201407,2014,2014Q3,Tuesday
289,2014-07-23,20140723,201407,2014,2014Q3,Wednesday
290,2014-07-24,20140724,201407,2014,2014Q3,Thursday
291,2014-07-25,20140725,201407,2014,2014Q3,Friday
292,2014-07-26,20140726,201407,2014,2014Q3,Saturday
293,2014-07-27,20140727,201407,2014,2014Q3,Sunday
294,2014-07-28,20140728,201407,2014,2014Q3,Monday
295,2014-07-29,20140729,201407,2014,2014Q3,Tuesday
296,2014-07-30,20140730,201407,2014,2014Q3,Wednesday
297,2014-07-31,20140731,201407,2014,2014Q3,Thursday
298,2014-08-01,20140801,201408,2014,2014Q3,Friday
299,2014-08-02,20140802,201408,2014,2014Q3,Saturday
300,2014-08-03,20140803,201408,2014,2014Q3,Sunday
301,2014-08-04,20140804,201408,2014,2014Q3,Monday
302,2014-08-05,20140805,201408,2014,2014Q3,Tuesday
303,2014-08-06,20140806,201408,2014,2014Q3,Wednesday
304,2014-08-07,20140807,201408,2014,2014Q3,Thursday
305,2014-08-08,20140808,201408,2014,2014Q3,Friday
306,2014-08-09,20140809,201408,2014,2014Q3,Saturday
307,2014-08-10,20140810,201408,2014,2014Q3,Sunday
308,2014-08-11,20140811,201408,2014,2014Q3,Monday
309,2014-08-12,20140812,201408,2014,2014Q3,Tuesday
310,2014-08-13,20140813,201408,2014,2014Q3,Wednesday
311,2014-08-14,20140814,201408,2014,2014Q3,Thursday
312,2014-08-15,20140815,201408,2014,2014Q3,Friday
313,2014-08-16,20140816,201408,2014,2014Q3,Saturday
314,2014-08-17,20140817,201408,2014,2014Q3,Sunday
315,2014-08-18,20140818,201408,2014,2014Q3,Monday
316,2014-08-19,20140819,201408,2014,2014Q3,Tuesday
317,2014-08-20,20140820,201408,2014,2014Q3,Wednesday
318,2014-08-21,20140821,201408,2014,2014Q3,Thursday
319,2014-08-22,20140822,201408,2014,2014Q3,Friday
320,2014-08-23,20140823,201408,2014,2014Q3,Saturday
321,2014-08-24,20140824,201408,2014,2014Q3,Sunday
322,2014-08-25,20140825,201408,2014,2014Q3,Monday
323,2014-08-26,20140826,201408,2014,2014Q3,Tuesday
324,2014-08-27,20140827,201408,2014,2014Q3,Wednesday
325,2014-08-28,20140828,201408,2014,2014Q3,Thursday
